discount_code_id,code,percent_discount,valid_from,valid_to
1,SUMMER2024,10,2024-11-23 00:00:00,
2,WELCOME10,15,2025-01-14 00:00:00,
3,BLACKFRIDAY,20,2024-04-24 00:00:00,
4,SPRING2025,25,2024-02-22 00:00:00,2024-07-17 00:00:00
5,VIP20,30,2024-02-14 00:00:00,2024-02-29 00:00:00
6,NEWSLETTER,50,2024-01-16 00:00:00,
7,XMAS25,5,2024-04-29 00:00:00,2024-05-12 00:00:00
8,FLASH50,15,2024-10-14 00:00:00,
9,FREESHIP,20,2024-11-28 00:00:00,2025-03-22 00:00:00
10,FALL2026,40,2024-04-22 00:00:00,2024-07-09 00:00:00
11,DEMO11,15,2025-01-01 00:00:00,2026-12-31 23:59:59
12,DEMO12,5,2025-01-01 00:00:00,2026-12-31 23:59:59
13,DEMO13,20,2025-01-01 00:00:00,2026-12-31 23:59:59
14,DEMO14,10,2025-01-01 00:00:00,2026-12-31 23:59:59
15,DEMO15,25,2025-01-01 00:00:00,2026-12-31 23:59:59
16,DEMO16,15,2025-01-01 00:00:00,2026-12-31 23:59:59
17,DEMO17,20,2025-01-01 00:00:00,2026-12-31 23:59:59
18,DEMO18,5,2025-01-01 00:00:00,2026-12-31 23:59:59
19,DEMO19,25,2025-01-01 00:00:00,2026-12-31 23:59:59
20,DEMO20,25,2025-01-01 00:00:00,2026-12-31 23:59:59
21,DEMO21,10,2025-01-01 00:00:00,2026-12-31 23:59:59
22,DEMO22,5,2025-01-01 00:00:00,2026-12-31 23:59:59
23,DEMO23,5,2025-01-01 00:00:00,2026-12-31 23:59:59
24,DEMO24,25,2025-01-01 00:00:00,2026-12-31 23:59:59
25,DEMO25,5,2025-01-01 00:00:00,2026-12-31 23:59:59
26,DEMO26,15,2025-01-01 00:00:00,2026-12-31 23:59:59
27,DEMO27,20,2025-01-01 00:00:00,2026-12-31 23:59:59
28,DEMO28,5,2025-01-01 00:00:00,2026-12-31 23:59:59
29,DEMO29,20,2025-01-01 00:00:00,2026-12-31 23:59:59
30,DEMO30,15,2025-01-01 00:00:00,2026-12-31 23:59:59
