order_items_id,order_id,product_id,quantity,unit_price,total_amount
1,1,280,1,154.65,154.65
2,2,14,2,430.9,861.8
3,2,288,4,236.8,947.2
4,2,102,3,39.38,118.14
5,2,280,1,154.65,154.65
6,2,215,2,136.44,272.88
7,3,48,4,124.35,497.4
8,4,194,1,136.81,136.81
9,5,117,3,655.49,1966.47
10,6,84,2,214.78,429.56
11,6,190,3,4952.78,14858.34
12,6,182,1,312.02,312.02
13,7,139,1,392.73,392.73
14,7,286,2,65.95,131.9
15,7,113,1,545.6,545.6
16,7,167,3,125.02,375.06
17,8,256,4,255.06,1020.24
18,8,203,2,59.44,118.88
19,9,220,2,41.42,82.84
20,9,299,4,57.14,228.56
21,9,205,1,92.31,92.31
22,9,186,1,381.4,381.4
23,9,113,1,587.01,587.01
24,10,240,1,26.71,26.71
25,10,271,1,1470.33,1470.33
26,10,129,3,120.28,360.84
27,10,284,3,33.21,99.63
28,11,92,2,243.24,486.48
29,11,260,3,95.74,287.22
30,11,55,2,336.74,673.48
31,11,153,1,41.42,41.42
32,11,102,3,39.38,118.14
33,12,291,1,25.62,25.62
34,12,41,4,85.95,343.8
35,13,136,4,407.27,1629.08
36,13,271,2,1470.33,2940.66
37,14,225,1,267.0,267.0
38,14,265,2,192.94,385.88
39,14,232,2,117.39,234.78
40,15,31,2,79.21,158.42
41,16,110,4,78.98,315.92
42,16,277,2,235.17,470.34
43,16,68,4,416.05,1664.2
44,16,293,4,9518.1,38072.4
45,17,28,3,27.85,83.55
46,17,51,1,223.7,223.7
47,17,32,2,587.45,1174.9
48,17,207,2,88.7,177.4
49,18,39,1,265.8,265.8
50,18,227,1,154.78,154.78
51,19,247,2,127.32,254.64
52,19,110,4,81.8,327.2
53,19,206,1,125.45,125.45
54,19,31,4,79.21,316.84
55,20,80,1,180.81,180.81
56,20,98,1,116.76,116.76
57,20,152,3,133.94,401.82
58,20,112,1,97.46,97.46
59,21,42,4,288.25,1153.0
60,21,96,1,171.36,171.36
61,21,36,2,184.31,368.62
62,21,35,1,166.21,166.21
63,21,121,1,376.95,376.95
64,22,123,2,340.07,680.14
65,22,136,3,407.27,1221.81
66,22,203,4,59.44,237.76
67,23,276,2,1553.72,3107.44
68,24,81,3,24.0,72.0
69,24,225,1,267.0,267.0
70,24,279,3,41.73,125.19
71,25,145,2,369.8,739.6
72,25,108,3,368.57,1105.71
73,25,176,4,204.81,819.24
74,26,171,2,49.52,99.04
75,27,58,1,158.45,158.45
76,28,66,1,41.56,41.56
77,28,22,3,709.66,2128.98
78,28,158,2,210.26,420.52
79,28,187,2,71.43,142.86
80,29,84,4,214.78,859.12
81,29,91,1,101.6,101.6
82,30,82,1,80.11,80.11
83,30,56,4,408.87,1635.48
84,30,196,2,68.93,137.86
85,31,205,3,92.31,276.93
86,31,169,1,537.24,537.24
87,32,15,2,602.6,1205.2
88,32,60,3,301.85,905.55
89,32,134,1,261.22,261.22
90,33,60,1,301.85,301.85
91,33,198,4,124.56,498.24
92,33,296,1,101.13,101.13
93,33,98,2,116.76,233.52
94,33,131,3,151.63,454.89
95,34,154,3,164.42,493.26
96,35,195,4,46.99,187.96
97,35,90,1,301.61,301.61
98,35,292,3,34.9,104.7
99,35,155,3,80.38,241.14
100,36,110,1,81.8,81.8
101,36,262,3,177.88,533.64
102,36,243,3,471.3,1413.9
103,36,87,1,116.31,116.31
104,37,126,4,105.42,421.68
105,38,205,1,92.31,92.31
106,38,125,4,319.28,1277.12
107,38,76,2,49.74,99.48
108,38,3,2,108.77,217.54
109,39,69,3,206.85,620.55
110,39,238,4,108.52,434.08
111,39,272,4,77.63,310.52
112,39,287,4,553.36,2213.44
113,40,249,3,333.6,1000.8
114,40,123,2,340.07,680.14
115,40,141,3,482.39,1447.17
116,40,226,3,106.24,318.72
117,40,40,3,62.79,188.37
118,41,213,4,207.55,830.2
119,42,11,3,88.33,264.99
120,42,295,3,207.06,621.18
121,42,195,4,46.99,187.96
122,42,245,4,75.04,300.16
123,42,4,2,70.68,141.36
124,43,85,1,279.78,279.78
125,43,240,4,26.71,106.84
126,43,66,1,41.56,41.56
127,43,274,1,72.47,72.47
128,44,168,4,76.47,305.88
129,44,109,3,21.64,64.92
130,44,233,4,107.91,431.64
131,44,173,3,101.46,304.38
132,45,36,1,184.31,184.31
133,45,21,2,37.53,75.06
134,46,289,2,37.8,75.6
135,47,160,1,103.53,103.53
136,47,56,3,408.87,1226.61
137,48,53,1,26.41,26.41
138,48,155,1,80.38,80.38
139,49,216,4,27.57,110.28
140,50,268,4,186.9,747.6
141,50,139,4,392.73,1570.92
142,51,231,4,170.32,681.28
143,51,125,3,319.28,957.84
