order_status_history_id,order_id,order_status_id,status_from,status_to
1,1,1,2023-07-28 00:47:17,2023-07-28 00:50:17
2,1,2,2023-07-28 00:50:17,2023-07-28 21:50:17
3,1,3,2023-07-28 21:50:17,
4,2,1,2024-01-03 01:01:05,2024-01-03 01:11:05
5,2,2,2024-01-03 01:11:05,2024-01-03 11:11:05
6,2,3,2024-01-03 11:11:05,
7,3,1,2024-01-03 10:17:09,2024-01-03 11:16:09
8,3,2,2024-01-03 11:16:09,2024-01-05 01:16:09
9,3,3,2024-01-05 01:16:09,
10,4,1,2023-12-01 11:38:16,2023-12-01 12:07:16
11,4,2,2023-12-01 12:07:16,2023-12-01 18:07:16
12,4,3,2023-12-01 18:07:16,
13,5,1,2023-10-29 20:39:56,2023-10-29 20:54:56
14,5,2,2023-10-29 20:54:56,2023-10-30 14:54:56
15,5,3,2023-10-30 14:54:56,
16,6,1,2024-08-11 07:55:06,2024-08-11 07:58:06
17,6,2,2024-08-11 07:58:06,2024-08-12 22:58:06
18,6,3,2024-08-12 22:58:06,
19,7,1,2024-04-21 05:34:46,2024-04-21 06:17:46
20,7,2,2024-04-21 06:17:46,2024-04-23 06:17:46
21,7,3,2024-04-23 06:17:46,
22,8,1,2023-10-16 02:13:58,2023-10-16 02:29:58
23,8,2,2023-10-16 02:29:58,2023-10-17 10:29:58
24,8,3,2023-10-17 10:29:58,
25,9,1,2023-08-11 07:47:35,2023-08-11 08:40:35
26,9,2,2023-08-11 08:40:35,2023-08-11 12:40:35
27,9,3,2023-08-11 12:40:35,
28,10,1,2024-04-17 05:50:43,2024-04-17 06:02:43
29,10,2,2024-04-17 06:02:43,2024-04-19 06:02:43
30,10,3,2024-04-19 06:02:43,
31,11,1,2023-10-29 13:10:29,2023-10-29 13:29:29
32,11,2,2023-10-29 13:29:29,2023-10-30 02:29:29
33,11,3,2023-10-30 02:29:29,
34,12,1,2023-06-10 03:59:23,2023-06-10 04:49:23
35,12,2,2023-06-10 04:49:23,2023-06-11 05:49:23
36,12,3,2023-06-11 05:49:23,
37,13,1,2024-06-24 17:49:08,2024-06-24 18:15:08
38,13,2,2024-06-24 18:15:08,2024-06-25 04:15:08
39,13,3,2024-06-25 04:15:08,
40,14,1,2024-06-21 23:44:12,2024-06-22 00:08:12
41,14,2,2024-06-22 00:08:12,2024-06-23 18:08:12
42,14,3,2024-06-23 18:08:12,
43,15,1,2023-11-21 00:37:35,2023-11-21 00:41:35
44,15,2,2023-11-21 00:41:35,2023-11-22 09:41:35
45,15,3,2023-11-22 09:41:35,
46,16,1,2023-06-17 10:04:32,2023-06-17 10:30:32
47,16,2,2023-06-17 10:30:32,2023-06-17 19:30:32
48,16,3,2023-06-17 19:30:32,
49,17,1,2023-07-19 03:42:27,2023-07-19 04:37:27
50,17,2,2023-07-19 04:37:27,2023-07-21 00:37:27
51,17,3,2023-07-21 00:37:27,
52,18,1,2024-03-01 14:08:27,2024-03-01 15:05:27
53,18,2,2024-03-01 15:05:27,2024-03-02 18:05:27
54,18,3,2024-03-02 18:05:27,
55,19,1,2024-03-03 00:05:59,2024-03-03 00:52:59
56,19,2,2024-03-03 00:52:59,2024-03-03 08:52:59
