order_id,customer_id,order_ts,total_amount,discount_code_id
1,164,2023-07-28 00:47:17+02:00,154.65,
2,152,2024-01-03 01:01:05+02:00,2354.67,
3,179,2024-01-03 10:17:09+02:00,248.7,6
4,25,2023-12-01 11:38:16+02:00,109.45,9
5,142,2023-10-29 20:39:56+01:00,1671.5,2
6,21,2024-08-11 07:55:06+01:00,15599.92,
7,156,2024-04-21 05:34:46+02:00,1445.29,
8,103,2023-10-16 02:13:58+00:00,569.56,6
9,68,2023-08-11 07:47:35+00:00,1372.12,
10,40,2024-04-17 05:50:43+01:00,1859.63,7
11,29,2023-10-29 13:10:29+02:00,1124.72,5
12,126,2023-06-10 03:59:23+01:00,369.42,
13,18,2024-06-24 17:49:08+02:00,3655.79,9
14,139,2024-06-21 23:44:12+00:00,887.66,
15,17,2023-11-21 00:37:35+02:00,142.58,1
16,18,2023-06-17 10:04:32+02:00,40522.86,
17,49,2023-07-19 03:42:27+01:00,1659.55,
18,49,2024-03-01 14:08:27+02:00,420.58,
19,167,2024-03-03 00:05:59+02:00,1024.13,
20,68,2024-07-06 14:18:27+00:00,637.48,9
21,13,2024-03-26 15:32:58+00:00,2236.14,
22,108,2024-05-02 18:36:33+01:00,1604.78,4
23,81,2024-06-19 02:00:29+00:00,2641.32,2
24,130,2023-10-14 04:59:22+02:00,232.1,6
25,170,2023-07-24 04:16:07+02:00,2131.64,3
26,65,2024-08-07 01:05:40+01:00,89.14,1
27,164,2023-10-13 05:47:28+00:00,126.76,9
28,177,2023-08-16 17:02:53+01:00,2187.14,3
29,171,2023-07-23 11:49:35+01:00,768.58,3
30,46,2024-06-12 10:50:59+01:00,1390.09,4
31,52,2024-07-23 14:22:19+02:00,814.17,
32,198,2023-10-21 11:41:32+01:00,1897.58,9
33,28,2024-04-01 13:22:46+01:00,1589.63,
34,111,2023-07-06 21:58:21+00:00,493.26,
35,171,2023-12-27 10:25:44+01:00,626.56,4
36,54,2024-01-07 18:38:41+01:00,2145.65,
37,193,2023-09-29 21:19:14+02:00,421.68,
38,157,2024-08-09 02:29:26+00:00,1602.13,7
39,179,2024-02-21 14:03:35+02:00,3041.8,2
40,41,2024-06-15 15:28:16+02:00,2544.64,5
41,139,2023-07-12 04:09:14+01:00,622.65,4
42,85,2024-03-04 14:26:03+02:00,1439.87,7
43,125,2023-09-21 08:27:31+02:00,500.65,
44,165,2024-01-06 04:55:29+02:00,1106.82,
45,21,2024-01-27 00:47:34+02:00,129.68,6
46,52,2024-08-03 00:39:09+02:00,75.6,
47,120,2024-05-24 08:49:23+02:00,1130.62,2
48,148,2024-05-12 12:25:45+02:00,106.79,
49,89,2024-02-28 13:42:23+02:00,55.14,6
50,28,2024-01-08 11:40:57+01:00,2202.59,7
51,112,2024-07-27 23:37:17+01:00,1485.49,2
52,127,2024-08-09 10:11:31+02:00,3135.93,
53,62,2024-06-03 13:31:35+02:00,5107.37,8
54,122,2024-03-10 16:22:27+00:00,2921.36,6
55,191,2024-03-01 22:11:12+02:00,2988.41,5
56,182,2024-02-29 04:17:02+02:00,1894.6,3
57,48,2023-06-27 08:55:30+02:00,6399.92,7
58,31,2024-03-12 13:38:38+00:00,625.59,
59,68,2024-05-04 02:10:15+02:00,344.51,3
60,177,2024-03-31 15:18:02+02:00,13322.29,
61,30,2024-03-05 07:41:09+01:00,713.44,2
62,153,2024-06-18 18:58:18+01:00,2560.64,
63,154,2023-06-21 13:47:20+00:00,148.26,
64,196,2024-05-10 08:36:02+02:00,1064.58,
65,105,2023-11-18 10:42:06+02:00,3869.89,
66,83,2023-07-30 12:55:32+02:00,4452.25,9
67,53,2023-10-15 17:08:59+01:00,2539.13,
