payment_attempt_id,payment_method_id,payment_result_id,order_id,amount,payment_attmept_ts
1,2,2,1,154.65,2023-07-28 00:49:42
2,4,2,2,2354.67,2024-01-03 01:02:02
3,9,2,3,248.7,2024-01-03 10:20:50
4,1,2,4,109.45,2023-12-01 11:40:12
5,4,2,5,1671.5,2023-10-29 20:40:14
6,9,2,6,15599.92,2024-08-11 07:59:50
7,7,2,7,1445.29,2024-04-21 05:37:13
8,1,2,8,569.56,2023-10-16 02:15:24
9,7,2,9,1372.12,2023-08-11 07:48:59
10,4,3,10,1859.63,2024-04-17 05:51:31
11,2,2,11,1124.72,2023-10-29 13:11:23
12,6,3,12,369.42,2023-06-10 04:00:45
13,5,2,12,369.42,2023-06-10 04:27:45
14,1,2,13,3655.79,2024-06-24 17:53:47
15,2,2,14,887.66,2024-06-21 23:45:05
16,2,4,14,887.66,2024-06-23 23:45:05
17,9,2,15,142.58,2023-11-21 00:40:45
18,10,2,16,40522.86,2023-06-17 10:05:12
19,1,2,17,1659.55,2023-07-19 03:45:00
20,2,3,18,420.58,2024-03-01 14:10:22
21,2,2,18,420.58,2024-03-01 14:24:22
22,5,2,19,1024.13,2024-03-03 00:09:10
23,3,2,20,637.48,2024-07-06 14:20:19
24,5,2,21,2236.14,2024-03-26 15:33:39
25,10,2,22,1604.78,2024-05-02 18:41:11
26,4,2,23,2641.32,2024-06-19 02:03:48
27,5,2,24,232.1,2023-10-14 05:00:48
28,5,4,24,232.1,2023-10-26 05:00:48
29,9,2,25,2131.64,2023-07-24 04:18:58
30,1,2,26,89.14,2024-08-07 01:06:01
31,6,2,27,126.76,2023-10-13 05:48:06
32,4,3,28,2187.14,2023-08-16 17:04:10
33,6,2,28,2187.14,2023-08-16 17:12:10
34,8,2,29,768.58,2023-07-23 11:53:34
35,3,2,30,1390.09,2024-06-12 10:53:10
36,9,2,31,814.17,2024-07-23 14:26:03
37,10,2,32,1897.58,2023-10-21 11:43:29
38,3,2,33,1589.63,2024-04-01 13:23:37
39,1,3,34,493.26,2023-07-06 21:58:45
40,3,2,34,493.26,2023-07-06 22:25:45
41,7,2,35,626.56,2023-12-27 10:29:06
42,7,2,36,2145.65,2024-01-07 18:42:45
43,9,2,37,421.68,2023-09-29 21:24:02
44,1,2,38,1602.13,2024-08-09 02:30:29
45,9,2,39,3041.8,2024-02-21 14:06:34
46,2,2,40,2544.64,2024-06-15 15:29:41
47,8,2,41,622.65,2023-07-12 04:11:33
48,9,2,42,1439.87,2024-03-04 14:30:27
49,2,3,43,500.65,2023-09-21 08:28:14
50,9,2,43,500.65,2023-09-21 08:49:14
51,4,2,44,1106.82,2024-01-06 04:56:56
52,9,3,45,129.68,2024-01-27 00:48:46
53,1,2,46,75.6,2024-08-03 00:43:24
54,1,2,47,1130.62,2024-05-24 08:52:33
55,5,2,48,106.79,2024-05-12 12:27:53
56,10,3,49,55.14,2024-02-28 13:42:38
57,8,3,50,2202.59,2024-01-08 11:42:39
58,9,2,50,2202.59,2024-01-08 12:08:39
59,3,2,51,1485.49,2024-07-27 23:41:25
60,9,2,52,3135.93,2024-08-09 10:16:06
61,10,2,53,5107.37,2024-06-03 13:33:28
62,9,2,54,2921.36,2024-03-10 16:24:14
63,5,2,55,2988.41,2024-03-01 22:14:28
64,8,3,56,1894.6,2024-02-29 04:18:04
65,2,2,56,1894.6,2024-02-29 04:27:04
66,4,2,57,6399.92,2023-06-27 08:55:45
67,10,2,58,625.59,2024-03-12 13:40:35
68,1,2,59,344.51,2024-05-04 02:10:50
69,4,2,60,13322.29,2024-03-31 15:18:23
70,6,2,61,713.44,2024-03-05 07:43:15
71,5,2,62,2560.64,2024-06-18 19:00:12
72,9,2,63,148.26,2023-06-21 13:52:17
73,10,2,64,1064.58,2024-05-10 08:40:09
74,7,2,65,3869.89,2023-11-18 10:43:00
75,7,2,66,4452.25,2023-07-30 12:59:07
76,8,3,67,2539.13,2023-10-15 17:09:10
77,2,2,67,2539.13,2023-10-15 17:12:10
78,7,2,68,2501.07,2024-08-04 03:30:07
79,4,2,69,1741.22,2024-03-09 04:28:51
80,8,2,70,956.55,2024-07-08 16:19:30
81,5,2,71,4325.64,2024-03-09 17:25:12
82,8,3,72,2509.06,2023-08-04 16:39:15
83,9,2,72,2509.06,2023-08-04 16:44:15
84,1,2,73,3261.07,2024-06-04 04:31:36
85,1,3,74,397.58,2023-06-19 19:05:56
86,4,2,75,158.34,2023-08-25 22:24:10
87,8,2,76,1096.4,2024-01-07 04:19:03
88,1,2,77,3829.36,2024-03-25 04:14:35
89,7,2,78,18158.38,2024-03-27 09:44:24
90,5,2,79,7294.78,2023-12-01 18:23:33
91,8,2,80,90.07,2024-04-21 06:41:52
92,4,3,81,1365.0,2023-06-18 18:25:05
93,9,2,82,2106.34,2024-02-12 08:55:55
94,1,2,83,2212.67,2024-06-05 21:30:03
95,9,3,84,2203.03,2023-12-08 03:44:26
96,3,2,84,2203.03,2023-12-08 03:47:26
97,9,2,85,21278.5,2024-02-08 03:07:55
98,2,2,86,1702.17,2023-06-17 22:25:18
99,7,2,87,2224.31,2023-12-21 08:17:03
100,4,2,88,1601.28,2024-07-07 18:13:29
101,10,2,89,353.64,2024-08-13 04:13:28
102,9,2,90,456.4,2024-07-09 07:39:38
103,4,2,91,2693.06,2023-07-29 23:07:15
104,4,2,92,437.56,2024-01-05 21:07:43
105,5,2,93,283.44,2023-08-04 08:40:22
106,1,2,94,1035.88,2024-01-18 07:31:14
107,2,2,95,73.77,2024-05-06 08:25:03
108,9,2,96,2325.63,2023-07-20 23:50:26
109,2,3,97,620.52,2024-03-22 16:14:01
110,5,2,97,620.52,2024-03-22 16:21:01
111,8,3,98,2379.46,2024-06-25 08:37:49
112,5,2,98,2379.46,2024-06-25 08:58:49
113,9,2,99,201.86,2024-08-19 04:41:30
114,5,3,100,689.09,2024-01-01 14:21:28
115,3,2,101,2474.18,2023-07-12 08:29:41
116,9,2,102,188.39,2024-05-13 21:40:00
117,10,2,103,308.96,2023-09-17 04:51:16
118,4,2,104,170.88,2023-08-06 12:37:05
119,9,2,105,14083.62,2023-06-10 14:58:35
120,2,2,106,1132.88,2023-12-03 02:30:20
121,1,2,107,641.57,2024-04-20 03:34:43
