price_history_id,product_id,amount,valid_from,valid_to
1,1,41.61,2023-04-05 00:00:00,
2,2,54.72,2023-03-28 00:00:00,
3,3,92.11,2023-01-05 00:00:00,2023-03-31 00:00:00
4,3,100.79,2023-03-31 00:00:01,2023-05-06 00:00:01
5,3,114.83,2023-05-06 00:00:02,2023-10-22 00:00:02
6,3,108.77,2023-10-22 00:00:03,
7,4,84.83,2023-01-01 00:00:00,2023-03-12 00:00:00
8,4,83.05,2023-03-12 00:00:01,2023-07-07 00:00:01
9,4,70.68,2023-07-07 00:00:02,
10,5,253.91,2023-01-14 00:00:00,2023-03-09 00:00:00
11,5,284.4,2023-03-09 00:00:01,2023-07-05 00:00:01
12,5,312.42,2023-07-05 00:00:02,
13,6,446.88,2023-03-10 00:00:00,2023-07-14 00:00:00
14,6,437.74,2023-07-14 00:00:01,2023-10-27 00:00:01
15,6,586.83,2023-10-27 00:00:02,2024-02-26 00:00:02
16,6,536.76,2024-02-26 00:00:03,
17,7,158.64,2023-03-26 00:00:00,
18,8,92.31,2023-01-30 00:00:00,
19,9,1467.09,2023-03-23 00:00:00,2023-06-02 00:00:00
20,9,1237.08,2023-06-02 00:00:01,2023-08-24 00:00:01
21,9,1385.81,2023-08-24 00:00:02,2023-10-11 00:00:02
22,9,1355.55,2023-10-11 00:00:03,
23,10,35.64,2023-01-21 00:00:00,2023-04-30 00:00:00
24,10,42.91,2023-04-30 00:00:01,
25,11,91.91,2023-03-29 00:00:00,2023-05-12 00:00:00
26,11,88.33,2023-05-12 00:00:01,
27,12,337.29,2023-02-21 00:00:00,2023-05-16 00:00:00
28,12,428.27,2023-05-16 00:00:01,2023-11-07 00:00:01
29,12,423.08,2023-11-07 00:00:02,
30,13,49.92,2023-02-20 00:00:00,2023-07-17 00:00:00
31,13,37.62,2023-07-17 00:00:01,2023-09-20 00:00:01
32,13,39.34,2023-09-20 00:00:02,2024-03-11 00:00:02
33,13,44.19,2024-03-11 00:00:03,
34,14,377.59,2023-03-16 00:00:00,2023-06-10 00:00:00
35,14,467.03,2023-06-10 00:00:01,2023-08-14 00:00:01
36,14,394.06,2023-08-14 00:00:02,2023-10-06 00:00:02
37,14,430.9,2023-10-06 00:00:03,
38,15,505.96,2023-03-22 00:00:00,2023-08-07 00:00:00
39,15,602.6,2023-08-07 00:00:01,
40,16,69.63,2023-03-09 00:00:00,2023-08-27 00:00:00
41,16,87.48,2023-08-27 00:00:01,2023-09-28 00:00:01
42,16,82.19,2023-09-28 00:00:02,2023-11-26 00:00:02
43,16,82.24,2023-11-26 00:00:03,
44,17,202.8,2023-04-09 00:00:00,2023-06-06 00:00:00
45,17,177.32,2023-06-06 00:00:01,2023-08-15 00:00:01
46,17,189.07,2023-08-15 00:00:02,
47,18,4230.72,2023-03-06 00:00:00,2023-08-12 00:00:00
48,18,4451.51,2023-08-12 00:00:01,2023-11-26 00:00:01
49,18,4347.52,2023-11-26 00:00:02,
50,19,74.85,2023-01-20 00:00:00,2023-04-01 00:00:00
51,19,79.8,2023-04-01 00:00:01,
52,20,49.24,2023-03-18 00:00:00,
53,21,40.14,2023-02-09 00:00:00,2023-05-11 00:00:00
54,21,50.98,2023-05-11 00:00:01,2023-06-30 00:00:01
55,21,37.53,2023-06-30 00:00:02,
56,22,709.66,2023-04-08 00:00:00,
57,23,379.7,2023-03-12 00:00:00,2023-08-24 00:00:00
58,23,496.97,2023-08-24 00:00:01,2024-01-09 00:00:01
59,23,512.22,2024-01-09 00:00:02,2024-06-25 00:00:02
60,23,477.55,2024-06-25 00:00:03,
61,24,165.16,2023-02-21 00:00:00,2023-06-26 00:00:00
62,24,135.67,2023-06-26 00:00:01,2023-12-05 00:00:01
63,24,136.38,2023-12-05 00:00:02,
64,25,70.53,2023-02-13 00:00:00,
65,26,913.93,2023-01-01 00:00:00,2023-02-15 00:00:00
66,26,979.66,2023-02-15 00:00:01,
67,27,480.56,2023-01-10 00:00:00,2023-04-21 00:00:00
68,27,508.75,2023-04-21 00:00:01,2023-07-14 00:00:01
69,27,485.13,2023-07-14 00:00:02,
