shipment_id,order_id,shipment_method_id
1,1,2
2,2,5
3,3,3
4,4,9
5,5,7
6,6,2
7,7,9
8,8,9
9,9,9
10,10,8
11,11,1
12,12,3
13,13,6
14,14,4
15,15,6
16,16,7
17,17,6
18,18,1
19,19,9
20,20,7
21,21,5
22,22,10
23,23,6
24,24,2
25,25,4
26,26,2
27,27,2
28,28,8
29,29,6
30,30,6
31,31,5
32,32,2
33,33,3
34,34,4
35,35,7
36,36,9
37,37,6
38,38,1
39,39,1
40,40,7
41,41,4
42,42,10
43,43,6
44,44,8
45,45,8
46,46,3
47,47,9
48,48,10
49,49,10
50,50,4
51,51,3
52,52,2
53,53,2
54,54,3
55,55,7
56,56,7
57,57,8
58,58,9
59,59,1
60,60,2
61,61,9
62,62,6
63,63,7
64,64,1
65,65,5
66,66,3
67,67,2
68,68,5
69,69,9
70,70,3
71,71,3
72,72,9
73,73,10
74,74,1
75,75,6
76,76,5
77,77,4
78,78,2
79,79,8
80,80,9
81,81,3
82,82,9
83,83,9
84,84,7
85,85,9
86,86,4
87,87,7
88,88,6
89,89,9
90,90,4
91,91,6
92,92,9
93,93,4
94,94,1
95,95,1
96,96,2
97,97,5
98,98,4
99,99,10
100,100,4
101,101,7
102,102,2
103,103,6
104,104,8
105,105,1
106,106,2
107,107,6
108,108,2
109,109,4
110,110,3
111,111,5
112,112,2
113,113,9
114,114,9
115,115,2
116,116,4
117,117,8
118,118,7
119,119,3
120,120,7
121,121,8
122,122,9
123,123,8
124,124,5
125,125,1
126,126,9
127,127,6
128,128,10
129,129,9
130,130,9
131,131,3
132,132,2
133,133,4
134,134,10
135,135,10
136,136,2
137,137,10
138,138,6
139,139,4
140,140,6
141,141,7
142,142,5
143,143,2
144,144,10
145,145,2
146,146,4
147,147,3
148,148,2
149,149,6
150,150,8
151,151,5
152,152,9
153,153,9
154,154,2
155,155,3
156,156,2
157,157,3
158,158,10
159,159,6
160,160,5
161,161,5
162,162,1
163,163,7
164,164,1
165,165,3
166,166,5
167,167,8
168,168,7
169,169,2
170,170,3
171,171,6
172,172,3
173,173,1
174,174,1
175,175,4
176,176,2
177,177,9
178,178,7
179,179,3
180,180,4
181,181,3
182,182,1
183,183,6
184,184,7
185,185,4
186,186,2
187,187,1
188,188,4
189,189,8
190,190,4
191,191,4
192,192,5
193,193,5
194,194,9
195,195,9
196,196,1
197,197,5
198,198,5
199,199,10
200,200,6
201,201,9
202,202,10
203,203,1
204,204,1
205,205,9
206,206,4
207,207,2
208,208,6
209,209,2
210,210,5
211,211,7
212,212,5
213,213,4
214,214,7
215,215,3
216,216,5
217,217,1
218,218,4
219,219,10
220,220,6
221,221,8
222,222,9
223,223,3
224,224,5
225,225,10
226,226,4
227,227,4
228,228,3
229,229,4
230,230,10
231,231,2
232,232,10
233,233,7
234,234,4
235,235,1
236,236,2
237,237,4
238,238,9
239,239,9
240,240,2
241,241,8
242,242,9
243,243,8
244,244,9
245,245,9
246,246,3
247,247,8
248,248,4
249,249,5
250,250,9
251,251,4
252,252,2
253,253,4
254,254,6
255,255,2
256,256,4
257,257,3
258,258,2
259,259,6
260,260,7
261,261,7
262,262,10
263,263,1
264,264,10
265,265,1
266,266,5
267,267,7
268,268,9
269,269,4
270,270,5
271,271,1
272,272,7
273,273,8
274,274,10
275,275,7
276,276,1
277,277,7
278,278,8
279,279,5
280,280,4
281,281,6
282,282,7
283,283,7
284,284,2
285,285,9
286,286,6
287,287,2
288,288,1
289,289,4
290,290,1
291,291,4
292,292,2
293,293,4
294,294,5
295,295,3
296,296,2
297,297,3
298,298,2
299,299,5
300,300,7
301,301,4
302,302,4
303,303,5
304,304,10
305,305,10
306,306,6
307,307,6
308,308,6
309,309,7
310,310,2
311,311,6
312,312,8
313,313,7
314,314,9
315,315,5
316,316,9
317,317,8
318,318,10
319,319,4
320,320,2
321,321,8
322,322,8
323,323,7
324,324,8
325,325,3
326,326,6
327,327,6
328,328,10
329,329,5
330,330,9
331,331,2
332,332,7
333,333,4
334,334,8
335,335,1
336,336,4
337,337,4
338,338,10
339,339,9
340,340,7
341,341,9
342,342,8
343,343,5
344,344,4
345,345,9
346,346,3
347,347,8
348,348,10
349,349,9
350,350,2
351,351,5
352,352,3
353,353,9
354,354,1
355,355,9
356,356,3
357,357,8
358,358,1
359,359,8
360,360,6
361,361,1
362,362,8
363,363,2
364,364,2
365,365,1
366,366,10
367,367,2
368,368,2
369,369,7
370,370,10
371,371,9
372,372,8
373,373,10
374,374,5
375,375,1
376,376,2
377,377,4
378,378,5
379,379,3
380,380,9
381,381,1
382,382,10
383,383,1
384,384,5
385,385,8
386,386,4
387,387,10
388,388,4
389,389,9
390,390,3
391,391,3
392,392,3
393,393,10
394,394,10
395,395,8
396,396,5
397,397,5
398,398,8
399,399,10
400,400,7
401,401,10
402,402,2
403,403,10
404,404,1
405,405,5
406,406,3
407,407,8
408,408,3
409,409,7
410,410,8
411,411,8
412,412,6
413,413,2
414,414,6
415,415,8
416,416,7
417,417,9
418,418,2
419,419,6
420,420,7
421,421,1
422,422,9
423,423,1
424,424,6
425,425,8
426,426,1
427,427,9
428,428,5
429,429,8
430,430,10
431,431,3
432,432,1
433,433,2
434,434,2
435,435,2
436,436,3
437,437,5
438,438,5
439,439,8
440,440,4
441,441,3
442,442,10
443,443,3
444,444,5
445,445,7
446,446,9
447,447,1
448,448,5
449,449,10
450,450,8
451,451,8
452,452,6
453,453,9
454,454,6
455,455,4
456,456,4
457,457,7
458,458,8
459,459,7
460,460,3
461,461,1
462,462,10
463,463,2
464,464,8
465,465,8
466,466,3
467,467,3
468,468,5
469,469,7
470,470,6
471,471,9
472,472,6
473,473,8
474,474,1
475,475,4
476,476,5
477,477,2
478,478,2
479,479,2
480,480,5
481,481,1
482,482,1
483,483,6
484,484,4
485,485,10
486,486,3
487,487,2
488,488,7
489,489,4
490,490,10
491,491,8
492,492,8
493,493,1
494,494,8
495,495,9
496,496,8
497,497,10
498,498,7
499,499,8
500,500,4
501,501,9
502,502,8
503,503,10
504,504,4
505,505,6
506,506,1
507,507,1
508,508,2
509,509,7
510,510,6
511,511,8
512,512,8
513,513,7
514,514,5
515,515,4
516,516,10
517,517,4
518,518,1
519,519,6
520,520,4
521,521,4
522,522,4
523,523,10
524,524,7
525,525,3
526,526,7
527,527,7
528,528,3
529,529,6
530,530,10
531,531,6
532,532,1
533,533,3
534,534,1
535,535,2
536,536,1
537,537,4
538,538,4
539,539,1
540,540,2
541,541,1
542,542,8
543,543,2
544,544,9
545,545,6
546,546,4
547,547,3
548,548,8
549,549,10
550,550,1
551,551,2
552,552,4
553,553,5
554,554,3
555,555,3
556,556,8
557,557,8
558,558,9
559,559,8
560,560,9
561,561,2
562,562,6
563,563,5
564,564,1
565,565,8
566,566,6
567,567,5
568,568,9
569,569,7
570,570,4
571,571,2
572,572,7
573,573,8
574,574,5
575,575,4
576,576,8
577,577,10
578,578,5
579,579,7
580,580,8
581,581,3
582,582,2
583,583,1
584,584,9
585,585,7
586,586,8
587,587,5
588,588,2
589,589,8
590,590,1
591,591,5
592,592,8
593,593,7
594,594,3
595,595,2
596,596,1
597,597,6
598,598,9
599,599,1
600,600,7
601,601,7
602,602,6
603,603,7
604,604,4
605,605,3
606,606,5
607,607,9
608,608,3
609,609,8
610,610,2
611,611,6
612,612,1
613,613,1
614,614,8
615,615,10
616,616,2
617,617,1
618,618,10
619,619,6
620,620,2
621,621,10
622,622,7
623,623,6
624,624,1
625,625,4
626,626,6
627,627,6
628,628,9
629,629,7
630,630,4
631,631,3
632,632,6
633,633,9
634,634,10
635,635,8
636,636,9
637,637,8
638,638,3
639,639,5
640,640,2
641,641,8
642,642,10
643,643,3
644,644,7
645,645,2
646,646,9
647,647,10
648,648,10
649,649,9
650,650,10
651,651,4
652,652,9
653,653,9
654,654,3
655,655,4
656,656,1
657,657,6
658,658,9
659,659,1
660,660,6
661,661,3
662,662,4
663,663,6
664,664,2
665,665,6
666,666,2
667,667,3
668,668,3
669,669,2
670,670,5
671,671,5
672,672,3
673,673,5
674,674,8
675,675,5
676,676,8
677,677,2
