shipment_status_history_id,shipment_id,shipment_status_id,status_from,status_to
1,1,1,2023-07-28 11:47:17,
2,2,1,2024-01-03 03:01:05,2024-01-03 09:01:05
3,2,2,2024-01-03 09:01:05,2024-01-04 14:01:05
4,2,3,2024-01-04 14:01:05,
5,3,1,2024-01-03 15:17:09,2024-01-04 04:17:09
6,3,2,2024-01-04 04:17:09,2024-01-04 17:17:09
7,3,3,2024-01-04 17:17:09,2024-01-05 03:17:09
8,3,4,2024-01-05 03:17:09,
9,4,1,2023-12-01 23:38:16,2023-12-02 08:38:16
10,4,2,2023-12-02 08:38:16,
11,5,1,2023-10-30 07:39:56,
12,6,1,2024-08-11 19:55:06,2024-08-13 05:55:06
13,6,2,2024-08-13 05:55:06,2024-08-14 04:55:06
14,6,3,2024-08-14 04:55:06,
15,7,1,2024-04-21 07:34:46,2024-04-22 07:34:46
16,7,2,2024-04-22 07:34:46,2024-04-23 02:34:46
17,7,3,2024-04-23 02:34:46,2024-04-23 09:34:46
18,7,4,2024-04-23 09:34:46,
19,8,1,2023-10-16 03:13:58,2023-10-16 11:13:58
20,8,2,2023-10-16 11:13:58,2023-10-16 23:13:58
21,8,3,2023-10-16 23:13:58,
22,9,1,2023-08-11 11:47:35,2023-08-12 09:47:35
23,9,2,2023-08-12 09:47:35,2023-08-13 10:47:35
24,9,3,2023-08-13 10:47:35,2023-08-13 16:47:35
25,9,4,2023-08-13 16:47:35,
26,10,1,2024-04-17 14:50:43,2024-04-18 02:50:43
27,10,2,2024-04-18 02:50:43,2024-04-19 06:50:43
28,10,3,2024-04-19 06:50:43,2024-04-20 08:50:43
29,10,4,2024-04-20 08:50:43,
30,11,1,2023-10-30 01:10:29,2023-10-31 00:10:29
31,11,2,2023-10-31 00:10:29,2023-10-31 19:10:29
32,11,3,2023-10-31 19:10:29,2023-11-01 08:10:29
33,11,4,2023-11-01 08:10:29,
34,12,1,2023-06-10 11:59:23,2023-06-11 11:59:23
35,12,2,2023-06-11 11:59:23,2023-06-12 01:59:23
36,12,3,2023-06-12 01:59:23,2023-06-13 08:59:23
37,12,4,2023-06-13 08:59:23,
38,13,1,2024-06-24 18:49:08,2024-06-26 00:49:08
39,13,2,2024-06-26 00:49:08,2024-06-27 07:49:08
40,13,3,2024-06-27 07:49:08,
41,14,1,2024-06-22 02:44:12,2024-06-23 06:44:12
42,14,2,2024-06-23 06:44:12,2024-06-24 01:44:12
43,14,3,2024-06-24 01:44:12,2024-06-24 17:44:12
44,14,5,2024-06-24 17:44:12,
45,15,1,2023-11-21 05:37:35,2023-11-21 15:37:35
46,15,2,2023-11-21 15:37:35,
47,16,1,2023-06-17 14:04:32,2023-06-19 02:04:32
48,16,2,2023-06-19 02:04:32,
49,17,1,2023-07-19 09:42:27,2023-07-19 18:42:27
50,17,2,2023-07-19 18:42:27,2023-07-20 02:42:27
51,17,3,2023-07-20 02:42:27,2023-07-20 20:42:27
52,17,4,2023-07-20 20:42:27,
53,18,1,2024-03-01 16:08:27,2024-03-02 09:08:27
54,18,2,2024-03-02 09:08:27,2024-03-03 18:08:27
55,18,3,2024-03-03 18:08:27,2024-03-04 11:08:27
56,18,4,2024-03-04 11:08:27,
57,19,1,2024-03-03 10:05:59,2024-03-04 00:05:59
58,19,2,2024-03-04 00:05:59,
59,20,1,2024-07-06 15:18:27,2024-07-07 20:18:27
60,20,2,2024-07-07 20:18:27,
61,21,1,2024-03-26 23:32:58,2024-03-27 22:32:58
62,21,2,2024-03-27 22:32:58,2024-03-28 07:32:58
63,21,3,2024-03-28 07:32:58,2024-03-29 18:32:58
64,21,4,2024-03-29 18:32:58,
65,22,1,2024-05-03 01:36:33,2024-05-03 09:36:33
66,22,2,2024-05-03 09:36:33,2024-05-04 08:36:33
67,22,3,2024-05-04 08:36:33,2024-05-04 23:36:33
68,22,4,2024-05-04 23:36:33,
69,23,1,2024-06-19 13:00:29,2024-06-20 14:00:29
70,23,2,2024-06-20 14:00:29,2024-06-22 00:00:29
71,23,3,2024-06-22 00:00:29,2024-06-23 09:00:29
72,23,4,2024-06-23 09:00:29,
73,24,1,2023-10-14 10:59:22,
74,25,1,2023-07-24 14:16:07,2023-07-25 02:16:07
75,25,2,2023-07-25 02:16:07,2023-07-26 06:16:07
76,25,3,2023-07-26 06:16:07,2023-07-26 14:16:07
77,25,4,2023-07-26 14:16:07,
78,26,1,2024-08-07 02:05:40,2024-08-08 05:05:40
79,26,2,2024-08-08 05:05:40,2024-08-08 18:05:40
80,26,3,2024-08-08 18:05:40,2024-08-10 00:05:40
81,26,4,2024-08-10 00:05:40,
82,27,1,2023-10-13 10:47:28,2023-10-13 18:47:28
